Posting Type,Portfolio Name,Sub Portfolio,Property Name,Expedia ID,Expedia Review Status,Billing Type,From,To,Remaining/Direct Billed,Expedia Amount Reported to Property,Additional Revenue,Expedia Amount Confirmed by Property,,Booking ID,Booking.Com Review Status,Booking.com Amount to be Claimed,Booking.com Amount Confirmed by Property,,Agoda ID,AGODA Review Status,Amount to be Claimed From Agoda,Amount Confirmed by Property
OTA,Huntington Hotel Group,,Homewood Suites by Hilton San Diego Airport-Liberty Station - 1691980,1691980,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$1,400.18",,"$1,400.18",,29851,Nothing To Report,$0.00,$0.00,,,,,
OTA,Huntington Hotel Group,,"Homewood Suites By Hilton Sunnyvale-Silicon Valley, Ca - 61490379",61490379,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$1,736.26",,"$1,736.26",,7067605,Invoiced,$264.05,$189.07,,,,,
OTA,Huntington Hotel Group,,Residence Inn Carlsbad-283129,283129,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,$965.34,,$964.83,,268190,Nothing To Report,$0.00,$0.00,,,,,
OTA,Huntington Hotel Group,,Residence Inn Portland Hillsboro/Brookwood-14683787,14683787,Nothing To Report,VCC,1/1/2024,6/30/2024,Remaining,$0.00,$0.00,$0.00,,174941,Nothing To Report,$2.18,$0.00,,,,,
OTA,Huntington Hotel Group,,Residence Inn Salt Lake City Murray-7990537,7990537,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,$740.86,,$153.65,,1014779,Invoiced,"$1,115.32","$1,096.00",,,,,
OTA,Huntington Hotel Group,,Residence Inn San Francsico Airport Millbrae Station - 88102370,88102370,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$7,245.47",,"$4,748.13",,9166782,Invoiced,"$12,539.70","$8,567.37",,,,,
OTA,Huntington Hotel Group,,Residence Inn San Jose Airport-9419884,9419884,Nothing To Report,VCC,1/1/2024,6/30/2024,Remaining,$0.00,$0.00,$0.00,,1248352,Invoiced,"$1,326.05","$1,325.08",,,,,
OTA,Huntington Hotel Group,,Residence Inn Southern Pines/Pinehurst-43193,43193,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$1,587.33",,"$1,586.32",,269119,Invoiced,"$1,582.56","$1,425.87",,,,,
OTA,Huntington Hotel Group,,Residence Inn Westlake Village-1586771,1586771,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,"$4,704.34",,"$4,704.34",,265967,Invoiced,$649.77,$625.21,,,,,
OTA,Huntington Hotel Group,,SpringHill Suites San Jose Airport-9621172,9621172,Nothing To Report,VCC,1/1/2024,6/30/2024,Remaining,$0.00,$0.00,$0.00,,1248353,Invoiced,$350.86,$175.80,,,,,
OTA,Huntington Hotel Group,,TownePlace Suites Thousand Oaks Agoura Hills-39176615,39176615,Invoiced,VCC,1/1/2024,6/30/2024,Remaining,$169.83,,$169.83,,5529484,Invoiced,$212.03,$212.03,,,,,
OTA+,LIFEHOUSE,,Beachside on Nantucket 9822617,9822617,Nothing To Report,VCC,9/1/2023,7/31/2024,Remaining,$0.00,$0.00,$0.00,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Blue Iris by Life House 78137096,78137096,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$31.82,,$31.82,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Cannon Beach Hotel Collection 6555352,6555352,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$8,510.61",,"$8,510.61",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Casa Secoya 55304089,55304089,Reported to Property,DB,9/1/2023,7/31/2024,Direct Billed,"$7,000.17",,"$7,000.17",,,No Review Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Elkhorn Lodge 16545670,16545670,Nothing To Report,HC,9/1/2023,7/31/2024,,$0.00,$0.00,$0.00,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Faisano Nomadas 89264118,89264118,Nothing To Report,VCC,9/1/2023,7/31/2024,Remaining,$0.00,$0.00,$0.00,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Faraway Nantucket 7581856,7581856,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$4,764.43",,"$4,764.43",,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE, ,Foot of the Mountain Motel 13279614,13279614,Batch 12102024,VCC,9/1/2023,7/31/2024,Remaining,,,,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Grand Pine Cabins 32993911,32993911,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,$948.70,,$948.70,,,Access Required,,,,,No Review Required,,
OTA+,LIFEHOUSE,,Greenporter Hotel 90308554,90308554,OTA Post Completed,VCC,9/1/2023,7/31/2024,Remaining,"$2,192.06",,"$2,192.06",,,Access Required,,,,,No Review Required,,
